seqno,noref,nama,alamat1,alamat2,alamat3,kota,kodepos,tglupl,tipe,serv_type,HARGA
201701300001MG,010301309MG,VALENCIA LEONY,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,MEGA BILLING,3100
201701300002MG,010301327MG,FIKRI C PERMANA,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300003MG,010301336MG,MELKY ARISON,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300004MG,010301407MG,WAHYU DWIYANTO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300005MG,010302086MG,ARI MULYADI,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300006MG,010302111MG,EDOLF SIMBOLON,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300007MG,010302200MG,MUGIYONO,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300008MG,010302255MG,LASDIARION ALVIN SIM,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300009MG,010302371MG,PUTRI RACHMA YANDHIT,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
201701300010MG,010304360MG,NANDANG RUSDIANSYAH,JL. ABAL ABAL RT.6/5 NO.15,KELURAHAN JOHAR BARU,KECAMATAN SENEN,JAKARTA PUSAT,10000,30/01/2017,BILL,3100,3100
